127.0.0.1 - - [10/Mar/2025:09:52:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/kunto.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/loginandSignup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/css/popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/images/kuntologo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/js/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /kunto/images/Group.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:56 +0530] "GET /kunto/images/fitn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "POST /kunto/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/kunto.html HTTP/1.1" 200 225011
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/community.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/nutrition.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/activity.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/controls.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/css/workout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/uploads/group_dp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/uploads/group_dp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/uploads/group_db3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/WORKOUTS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/community.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/CalorieCircle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/activity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/controls.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:52:59 +0530] "GET /kunto/js/nutrition.js HTTP/1.1" 304 -
